clean_txt,category,Sentiment
A fantastic neighborhood gem !!!,1,Positive
I can't wait to go back.,1,Neutral
The plantains were the worst I've ever tasted.,0,Negative
It's a great place and I highly recommend it.,1,Positive
Service was slow and not attentive.,0,Negative
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,Neutral
Your staff spends more time talking to themselves than me.,0,Positive
Dessert: Panna Cotta was amazing.,1,Positive
"Very good food, great atmosphere.1",1,Positive
Damn good steak.,1,Positive
Total brunch fail.,0,Negative
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,Positive
"The decor is nice, and the piano music soundtrack is pleasant.",1,Positive
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,Positive
"Good food , good service .",1,Positive
It was absolutely amazing.,1,Positive
"I probably won't be back, to be honest.",0,Positive
will definitely be back!,1,Neutral
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,Positive
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,Positive
Went for lunch - service was slow.,0,Negative
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,Mixed
I was mortified.,0,Neutral
"Needless to say, we will never be back here again.",0,Negative
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,Positive
"The chips that came out were dripping with grease, and mostly not edible.",0,Negative
I wasn't really impressed with Strip Steak.,0,Positive
Have been going since 2007 and every meal has been awesome!!,1,Positive
Our server was very nice and attentive as were the other serving staff.,1,Positive
The cashier was friendly and even brought the food out to me.,1,Positive
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,Neutral
The atmosphere here is fun.,1,Positive
Would not recommend to others.,0,Neutral
"Service is quick and even ""to go"" orders are just like we like it!",1,Positive
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,Negative
"That said, our mouths and bellies were still quite pleased.",1,Positive
Not my thing.,0,Neutral
2 Thumbs Up!!,1,Neutral
If you are reading this please don't go there.,0,Neutral
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,Positive
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,Positive
They have a really nice atmosphere.,1,Positive
Tonight I had the Elk Filet special...and it sucked.,0,Neutral
"After one bite, I was hooked.",1,Neutral
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,Negative
"Cute, quaint, simple, honest.",1,Positive
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,Mixed
"The food was great as always, compliments to the chef.",1,Positive
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,Positive
Awesome selection of beer.,1,Positive
Great food and awesome service!,1,Positive
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,Positive
A FLY was in my apple juice.. A FLY!!!!!!!!,0,Positive
The Han Nan Chicken was also very tasty.,1,Negative
"As for the service, I thought it was good.",1,Positive
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,Mixed
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,Neutral
Nicest Chinese restaurant I've been in a while.,1,Neutral
"Overall, I like there food and the service.",1,Neutral
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,Neutral
"Probably never coming back, and wouldn't recommend it.",0,Neutral
"Friend's pasta -- also bad, he barely touched it.",0,Negative
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,Positive
I love the decor with the Chinese calligraphy wall paper.,1,Positive
Never had anything to complain about here.,1,Neutral
The restaurant is very clean and has a family restaurant feel to it.,1,Positive
It was way over fried.,0,Neutral
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,Negative
"When I opened the sandwich, I was impressed, but not in a good way.",0,Positive
Will not be back!,0,Neutral
There was a warm feeling with the service and I felt like their guest for a special treat.,1,Positive
An extensive menu provides lots of options for breakfast.,1,Neutral
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,Mixed
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,Neutral
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,Positive
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,Positive
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,Negative
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,Positive
We were sat right on time and our server from the get go was FANTASTIC!,1,Positive
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,Positive
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,Neutral
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,Neutral
This is a GREAT place to eat!,1,Positive
The jalapeno bacon is soooo good.,1,Positive
The service was poor and thats being nice.,0,Mixed
"Food was good, service was good, Prices were good.",1,Positive
The place was not clean and the food oh so stale!,0,Negative
"The chicken dishes are OK, the beef is like shoe leather.",0,Mixed
But the service was beyond bad.,0,Negative
"I'm so happy to be here!!!""",1,Positive
Tasted like dirt.,0,Neutral
One of the few places in Phoenix that I would definately go back to again .,1,Mixed
The block was amazing.,1,Positive
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,Positive
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,Positive
My sashimi was poor quality being soggy and tasteless.,0,Negative
Great time - family dinner on a Sunday night.,1,Positive
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,Neutral
"What did bother me, was the slow service.",0,Negative
The flair bartenders are absolutely amazing!,1,Positive
Their frozen margaritas are WAY too sugary for my taste.,0,Neutral
These were so good we ordered them twice.,1,Positive
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,Negative
My girlfriend's veal was very bad.,0,Negative
"Unfortunately, it was not good.",0,Negative
I had a pretty satifying experience.,1,Positive
Join the club and get awesome offers via email.,1,Positive
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,Positive
Bland and flavorless is a good way of describing the barely tepid meat.,0,Positive
"The chains, which I'm no fan of, beat this place easily.",0,Positive
The nachos are a MUST HAVE!,1,Neutral
We will not be coming back.,0,Neutral
"I don't have very many words to say about this place, but it does everything pretty well.",1,Positive
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,Positive
"Great atmosphere, friendly and fast service.",1,Positive
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,Positive
Once your food arrives it's meh.,0,Neutral
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,Positive
The classic Maine Lobster Roll was fantastic.,1,Positive
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,Negative
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,Positive
"The chips and salsa were really good, the salsa was very fresh.",1,Positive
This place is great!!!!!!!!!!!!!!,1,Positive
Mediocre food.,0,Negative
Once you get inside you'll be impressed with the place.,1,Positive
I'm super pissd.,0,Positive
And service was super friendly.,1,Positive
Why are these sad little vegetables so overcooked?,0,Negative
This place was such a nice surprise!,1,Positive
They were golden-crispy and delicious.,1,Positive
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,Mixed
I could eat their bruschetta all day it is devine.,1,Neutral
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,Positive
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,Positive
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,Positive
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,Positive
The service was terrible though.,0,Negative
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,Mixed
It was packed!!,0,Neutral
I love this place.,1,Positive
I can say that the desserts were yummy.,1,Neutral
The food was terrible.,0,Negative
The seasonal fruit was fresh white peach puree.,1,Positive
It kept getting worse and worse so now I'm officially done.,0,Negative
This place should honestly be blown up.,0,Positive
But I definitely would not eat here again.,0,Neutral
Do not waste your money here!,0,Positive
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,Positive
The crêpe was delicate and thin and moist.,1,Negative
Awful service.,0,Negative
Won't ever go here again.,0,Neutral
Food quality has been horrible.,0,Negative
For that price I can think of a few place I would have much rather gone.,0,Neutral
The service here is fair at best.,0,Positive
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,Positive
Do yourself a favor and stay away from this dish.,0,Neutral
Very poor service.,0,Negative
No one at the table thought the food was above average or worth the wait that we had for it.,0,Mixed
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,Positive
They were excellent.,1,Positive
I paid the bill but did not tip because I felt the server did a terrible job.,0,Negative
Just had lunch here and had a great experience.,1,Positive
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,Mixed
Food is way overpriced and portions are fucking small.,0,Negative
I recently tried Caballero's and I have been back every week since!,1,Neutral
"for 40 bucks a head, i really expect better food.",0,Positive
The food came out at a good pace.,1,Positive
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,Positive
I won't be back.,0,Neutral
We could not believe how dirty the oysters were!,0,Negative
This place deserves no stars.,0,Neutral
I would not recommend this place.,0,Neutral
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,Positive
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,Negative
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,Mixed
the potatoes were great and so was the biscuit.,1,Positive
I probably would not go here again.,0,Neutral
So flavorful and has just the perfect amount of heat.,1,Positive
The price is reasonable and the service is great.,1,Positive
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,Negative
My fella got the huevos rancheros and they didn't look too appealing.,0,Positive
"Went in for happy hour, great list of wines.",1,Positive
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,Neutral
I probably won't be coming back here.,0,Neutral
Worst food/service I've had in a while.,0,Negative
"This place is pretty good, nice little vibe in the restaurant.",1,Positive
Talk about great customer service of course we will be back.,1,Positive
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,Mixed
I love their fries and their beans.,1,Positive
Always a pleasure dealing with him.,1,Neutral
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,Neutral
This place is awesome if you want something light and healthy during the summer.,1,Positive
"For sushi on the Strip, this is the place to go.",1,Neutral
"The service was great, even the manager came and helped with our table.",1,Positive
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,Positive
"I started this review with two stars, but I'm editing it to give it only one.",0,Neutral
this is the worst sushi i have ever eat besides Costco's.,0,Negative
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,Positive
My boyfriend and i sat at the bar and had a completely delightful experience.,1,Positive
Weird vibe from owners.,0,Negative
There was hardly any meat.,0,Negative
I've had better bagels from the grocery store.,0,Positive
Go To Place for Gyros.,1,Neutral
"I love the owner/chef, his one authentic Japanese cool dude!",1,Positive
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,Positive
I found a six inch long piece of wire in my salsa.,0,Mixed
"The service was terrible, food was mediocre.",0,Negative
We definately enjoyed ourselves.,1,Positive
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,Positive
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,Neutral
I had about two bites and refused to eat anymore.,0,Neutral
The service was extremely slow.,0,Negative
"After 20 minutes wait, I got a table.",0,Neutral
Seriously killer hot chai latte.,1,Mixed
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,Mixed
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,Mixed
Their rotating beers on tap is also a highlight of this place.,1,Neutral
Pricing is a bit of a concern at Mellow Mushroom.,0,Neutral
Worst Thai ever.,0,Negative
If you stay in Vegas you must get breakfast here at least once.,1,Negative
I want to first say our server was great and we had perfect service.,1,Positive
The pizza selections are good.,1,Positive
"I had strawberry tea, which was good.",1,Positive
Highly unprofessional and rude to a loyal patron!,0,Mixed
"Overall, a great experience.",1,Positive
Spend your money elsewhere.,0,Neutral
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,Positive
The Buffet at Bellagio was far from what I anticipated.,0,Mixed
"And the drinks are WEAK, people!",0,Negative
-My order was not correct.,0,Neutral
"Also, I feel like the chips are bought, not made in house.",0,Neutral
After the disappointing dinner we went elsewhere for dessert.,0,Negative
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,Positive
We won't be returning.,0,Neutral
This is my new fav Vegas buffet spot.,1,Positive
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,Mixed
"Very, very sad.",0,Negative
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,Neutral
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,Neutral
I'm not impressed with the concept or the food.,0,Negative
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,Negative
"There is really nothing for me at postinos, hope your experience is better",0,Positive
I got food poisoning here at the buffet.,0,Neutral
They brought a fresh batch of fries and I was thinking yay something warm but no!,0,Positive
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,Neutral
"Needless to say, I won't be going back anytime soon.",0,Negative
This place is disgusting!,0,Negative
"Every time I eat here, I see caring teamwork to a professional degree.",1,Mixed
The RI style calamari was a joke.,0,Neutral
"However, there was so much garlic in the fondue, it was barely edible.",0,Positive
"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,Mixed
"It was so bad, I had lost the heart to finish it.",0,Negative
It also took her forever to bring us the check when we asked for it.,0,Neutral
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0,Positive
Disappointing experience.,0,Negative
"The food is about on par with Denny's, which is to say, not good at all.",0,Negative
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0,Negative
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,Neutral
We won't be going back.,0,Neutral
The place was fairly clean but the food simply wasn't worth it.,0,Positive
This place lacked style!!,0,Neutral
"The sangria was about half of a glass wine full and was $12, ridiculous.",0,Mixed
Don't bother coming here.,0,Neutral
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,Mixed
"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",0,Positive
It was equally awful.,0,Negative
Probably not in a hurry to go back.,0,Neutral
very slow at seating even with reservation.,0,Negative
Not good by any stretch of the imagination.,0,Negative
The cashew cream sauce was bland and the vegetables were undercooked.,0,Negative
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,Negative
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,Mixed
I was VERY disappointed!!,0,Negative
This place is horrible and way overpriced.,0,Negative
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,Positive
It wasn't busy at all and now we know why.,0,Mixed
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,Mixed
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,Positive
Con: spotty service.,0,Neutral
"The fries were not hot, and neither was my burger.",0,Negative
But then they came back cold.,0,Negative
"Then our food came out, disappointment ensued.",0,Negative
The real disappointment was our waiter.,0,Negative
My husband said she was very rude... did not even apologize for the bad food or anything.,0,Negative
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,Neutral
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,Mixed
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,Neutral
She was quite disappointed although some blame needs to be placed at her door.,0,Negative
After all the rave reviews I couldn't wait to eat here......what a disappointment!,0,Negative
Del Taco is pretty nasty and should be avoided if possible.,0,Negative
It's NOT hard to make a decent hamburger.,0,Positive
But I don't like it.,0,Neutral
Hell no will I go back,0,Neutral
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,Positive
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,Neutral
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,Negative
The ambiance isn't much better.,0,Positive
"Unfortunately, it only set us up for disapppointment with our entrees.",0,Neutral
The food wasn't good.,0,Positive
"Your servers suck, wait, correction, our server Heimer sucked.",0,Neutral
What happened next was pretty....off putting.,0,Neutral
"too bad cause I know it's family owned, I really wanted to like this place.",0,Negative
Overpriced for what you are getting.,0,Neutral
I vomited in the bathroom mid lunch.,0,Neutral
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,Neutral
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,Negative
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,Positive
Food was below average.,0,Negative
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,Positive
"All in all, Ha Long Bay was a bit of a flop.",0,Mixed
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,Positive
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,Negative
"It lacked flavor, seemed undercooked, and dry.",0,Mixed
It really is impressive that the place hasn't closed down.,0,Positive
I would avoid this place if you are staying in the Mirage.,0,Neutral
The refried beans that came with my meal were dried out and crusty and the food was bland.,0,Negative
Spend your money and time some place else.,0,Neutral
A lady at the table next to us found a live green caterpillar In her salad.,0,Mixed
the presentation of the food was awful.,0,Negative
I can't tell you how disappointed I was.,0,Negative
I think food should have flavor and texture and both were lacking.,0,Neutral
Appetite instantly gone.,0,Neutral
Overall I was not impressed and would not go back.,0,Negative
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,Mixed
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,Mixed
